hcpc_code_id,short_description,long_description
99341,Home visit new patient,"HOME VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A PROBLEM FOCUSED HISTORY; A PROBLEM FOCUSED EXAMINATION; AND STRAIGHTFORWARD MEDICAL DECISION MAKING. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF LOW SEVERITY. TYPICALLY, 20 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
99342,Home visit new patient,"HOME VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: AN EXPANDED PROBLEM FOCUSED HISTORY; AN EXPANDED PROBLEM FOCUSED EXAMINATION; AND MEDICAL DECISION MAKING OF LOW COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE SEVERITY. TYPICALLY, 30 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
99343,Home visit new patient,"HOME VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A DETAILED HISTORY; A DETAILED EXAMINATION; AND MEDICAL DECISION MAKING OF MODERATE COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. TYPICALLY, 45 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
99344,Home visit new patient,"HOME VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; AND MEDICAL DECISION MAKING OF MODERATE COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF HIGH SEVERITY. TYPICALLY, 60 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
99345,Home visit new patient,"HOME VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES THESE 3 KEY COMPONENTS: A COMPREHENSIVE HISTORY; A COMPREHENSIVE EXAMINATION; AND MEDICAL DECISION MAKING OF HIGH COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PATIENT IS UNSTABLE OR HAS DEVELOPED A SIGNIFICANT NEW PROBLEM REQUIRING IMMEDIATE PHYSICIAN ATTENTION. TYPICALLY, 75 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
99347,Home visit est patient,"HOME VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: A PROBLEM FOCUSED INTERVAL HISTORY; A PROBLEM FOCUSED EXAMINATION; STRAIGHTFORWARD MEDICAL DECISION MAKING. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE SELF LIMITED OR MINOR. TYPICALLY, 15 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
99348,Home visit est patient,"HOME VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: AN EXPANDED PROBLEM FOCUSED INTERVAL HISTORY; AN EXPANDED PROBLEM FOCUSED EXAMINATION; MEDICAL DECISION MAKING OF LOW COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF LOW TO MODERATE SEVERITY. TYPICALLY, 25 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
99349,Home visit est patient,"HOME VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: A DETAILED INTERVAL HISTORY; A DETAILED EXAMINATION; MEDICAL DECISION MAKING OF MODERATE COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE MODERATE TO HIGH SEVERITY. TYPICALLY, 40 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
99350,Home visit est patient,"HOME VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES AT LEAST 2 OF THESE 3 KEY COMPONENTS: A COMPREHENSIVE INTERVAL HISTORY; A COMPREHENSIVE EXAMINATION; MEDICAL DECISION MAKING OF MODERATE TO HIGH COMPLEXITY. COUNSELING AND/OR COORDINATION OF CARE WITH OTHER PHYSICIANS, OTHER QUALIFIED HEALTH CARE PROFESSIONALS, OR AGENCIES ARE PROVIDED CONSISTENT WITH THE NATURE OF THE PROBLEM(S) AND THE PATIENT'S AND/OR FAMILY'S NEEDS. USUALLY, THE PRESENTING PROBLEM(S) ARE OF MODERATE TO HIGH SEVERITY. THE PATIENT MAY BE UNSTABLE OR MAY HAVE DEVELOPED A SIGNIFICANT NEW PROBLEM REQUIRING IMMEDIATE PHYSICIAN ATTENTION. TYPICALLY, 60 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
99354,Prolonged service office,PROLONGED SERVICE IN THE OFFICE OR OTHER OUTPATIENT SETTING REQUIRING DIRECT PATIENT CONTACT BEYOND THE USUAL SERVICE; FIRST HOUR (LIST SEPARATELY IN ADDITION TO CODE FOR OFFICE OR OTHER OUTPATIENT EVALUATION AND MANAGEMENT SERVICE)
99354,Prolong e&m/psyctx serv o/p,PROLONGED EVALUATION AND MANAGEMENT OR PSYCHOTHERAPY SERVICE(S) (BEYOND THE TYPICAL SERVICE TIME OF THE PRIMARY PROCEDURE) IN THE OFFICE OR OTHER OUTPATIENT SETTING REQUIRING DIRECT PATIENT CONTACT BEYOND THE USUAL SERVICE; FIRST HOUR (LIST SEPARATELY IN ADDITION TO CODE FOR OFFICE OR OTHER OUTPATIENT EVALUATION AND MANAGEMENT OR PSYCHOTHERAPY SERVICE)
99355,Prolonged service office,PROLONGED SERVICE IN THE OFFICE OR OTHER OUTPATIENT SETTING REQUIRING DIRECT PATIENT CONTACT BEYOND THE USUAL SERVICE; EACH ADDITIONAL 30 MINUTES (LIST SEPARATELY IN ADDITION TO CODE FOR PROLONGED SERVICE)
99355,Prolong e&m/psyctx serv o/p,PROLONGED EVALUATION AND MANAGEMENT OR PSYCHOTHERAPY SERVICE(S) (BEYOND THE TYPICAL SERVICE TIME OF THE PRIMARY PROCEDURE) IN THE OFFICE OR OTHER OUTPATIENT SETTING REQUIRING DIRECT PATIENT CONTACT BEYOND THE USUAL SERVICE; EACH ADDITIONAL 30 MINUTES (LIST SEPARATELY IN ADDITION TO CODE FOR PROLONGED SERVICE)
99356,Prolonged service inpatient,"PROLONGED SERVICE IN THE INPATIENT OR OBSERVATION SETTING, REQUIRING UNIT/FLOOR TIME BEYOND THE USUAL SERVICE; FIRST HOUR (LIST SEPARATELY IN ADDITION TO CODE FOR INPATIENT EVALUATION AND MANAGEMENT SERVICE)"
99357,Prolonged service inpatient,"PROLONGED SERVICE IN THE INPATIENT OR OBSERVATION SETTING, REQUIRING UNIT/FLOOR TIME BEYOND THE USUAL SERVICE; EACH ADDITIONAL 30 MINUTES (LIST SEPARATELY IN ADDITION TO CODE FOR PROLONGED SERVICE)"
99358,Prolong service w/o contact,PROLONGED EVALUATION AND MANAGEMENT SERVICE BEFORE AND/OR AFTER DIRECT PATIENT CARE; FIRST HOUR
99359,Prolong serv w/o contact add,PROLONGED EVALUATION AND MANAGEMENT SERVICE BEFORE AND/OR AFTER DIRECT PATIENT CARE; EACH ADDITIONAL 30 MINUTES (LIST SEPARATELY IN ADDITION TO CODE FOR PROLONGED SERVICE)
99360,Physician standby services,"STANDBY SERVICE, REQUIRING PROLONGED ATTENDANCE, EACH 30 MINUTES (EG, OPERATIVE STANDBY, STANDBY FOR FROZEN SECTION, FOR CESAREAN/HIGH RISK DELIVERY, FOR MONITORING EEG)"
99363,Anticoagulant mgmt initial,"ANTICOAGULANT MANAGEMENT FOR AN OUTPATIENT TAKING WARFARIN, PHYSICIAN REVIEW AND INTERPRETATION OF INTERNATIONAL NORMALIZED RATIO (INR) TESTING, PATIENT INSTRUCTIONS, DOSAGE ADJUSTMENT (AS NEEDED), AND ORDERING OF ADDITIONAL TESTS; INITIAL 90 DAYS OF THERAPY (MUST INCLUDE A MINIMUM OF 8 INR MEASUREMENTS)"
99364,Anticoagulant mgmt subseq,"ANTICOAGULANT MANAGEMENT FOR AN OUTPATIENT TAKING WARFARIN, PHYSICIAN REVIEW AND INTERPRETATION OF INTERNATIONAL NORMALIZED RATIO (INR) TESTING, PATIENT INSTRUCTIONS, DOSAGE ADJUSTMENT (AS NEEDED), AND ORDERING OF ADDITIONAL TESTS; EACH SUBSEQUENT 90 DAYS OF THERAPY (MUST INCLUDE A MINIMUM OF 3 INR MEASUREMENTS)"
99366,Team conf w/pat by hc prof,"MEDICAL TEAM CONFERENCE WITH INTERDISCIPLINARY TEAM OF HEALTH CARE PROFESSIONALS, FACE-TO-FACE WITH PATIENT AND/OR FAMILY, 30 MINUTES OR MORE, PARTICIPATION BY NONPHYSICIAN QUALIFIED HEALTH CARE PROFESSIONAL"
99367,Team conf w/o pat by phys,"MEDICAL TEAM CONFERENCE WITH INTERDISCIPLINARY TEAM OF HEALTH CARE PROFESSIONALS, PATIENT AND/OR FAMILY NOT PRESENT, 30 MINUTES OR MORE; PARTICIPATION BY PHYSICIAN"
99368,Team conf w/o pat by hc pro,"MEDICAL TEAM CONFERENCE WITH INTERDISCIPLINARY TEAM OF HEALTH CARE PROFESSIONALS, PATIENT AND/OR FAMILY NOT PRESENT, 30 MINUTES OR MORE; PARTICIPATION BY NONPHYSICIAN QUALIFIED HEALTH CARE PROFESSIONAL"
99374,Home health care supervision,"SUPERVISION OF A PATIENT UNDER CARE OF HOME HEALTH AGENCY (PATIENT NOT PRESENT) IN HOME, DOMICILIARY OR EQUIVALENT ENVIRONMENT (EG, ALZHEIMER'S FACILITY) REQUIRING COMPLEX AND MULTIDISCIPLINARY CARE MODALITIES INVOLVING REGULAR DEVELOPMENT AND/OR REVISION OF CARE PLANS BY THAT INDIVIDUAL, REVIEW OF SUBSEQUENT REPORTS OF PATIENT STATUS, REVIEW OF RELATED LABORATORY AND OTHER STUDIES, COMMUNICATION (INCLUDING TELEPHONE CALLS) FOR PURPOSES OF ASSESSMENT OR CARE DECISIONS WITH HEALTH CARE PROFESSIONAL(S), FAMILY MEMBER(S), SURROGATE DECISION MAKER(S) (EG, LEGAL GUARDIAN) AND/OR KEY CAREGIVER(S) INVOLVED IN PATIENT'S CARE, INTEGRATION OF NEW INFORMATION INTO THE MEDICAL TREATMENT PLAN AND/OR ADJUSTMENT OF MEDICAL THERAPY, WITHIN A CALENDAR MONTH; 15-29 MINUTES"
99375,Home health care supervision,"SUPERVISION OF A PATIENT UNDER CARE OF HOME HEALTH AGENCY (PATIENT NOT PRESENT) IN HOME, DOMICILIARY OR EQUIVALENT ENVIRONMENT (EG, ALZHEIMER'S FACILITY) REQUIRING COMPLEX AND MULTIDISCIPLINARY CARE MODALITIES INVOLVING REGULAR DEVELOPMENT AND/OR REVISION OF CARE PLANS BY THAT INDIVIDUAL, REVIEW OF SUBSEQUENT REPORTS OF PATIENT STATUS, REVIEW OF RELATED LABORATORY AND OTHER STUDIES, COMMUNICATION (INCLUDING TELEPHONE CALLS) FOR PURPOSES OF ASSESSMENT OR CARE DECISIONS WITH HEALTH CARE PROFESSIONAL(S), FAMILY MEMBER(S), SURROGATE DECISION MAKER(S) (EG, LEGAL GUARDIAN) AND/OR KEY CAREGIVER(S) INVOLVED IN PATIENT'S CARE, INTEGRATION OF NEW INFORMATION INTO THE MEDICAL TREATMENT PLAN AND/OR ADJUSTMENT OF MEDICAL THERAPY, WITHIN A CALENDAR MONTH; 30 MINUTES OR MORE"
99377,Hospice care supervision,"SUPERVISION OF A HOSPICE PATIENT (PATIENT NOT PRESENT) REQUIRING COMPLEX AND MULTIDISCIPLINARY CARE MODALITIES INVOLVING REGULAR DEVELOPMENT AND/OR REVISION OF CARE PLANS BY THAT INDIVIDUAL, REVIEW OF SUBSEQUENT REPORTS OF PATIENT STATUS, REVIEW OF RELATED LABORATORY AND OTHER STUDIES, COMMUNICATION (INCLUDING TELEPHONE CALLS) FOR PURPOSES OF ASSESSMENT OR CARE DECISIONS WITH HEALTH CARE PROFESSIONAL(S), FAMILY MEMBER(S), SURROGATE DECISION MAKER(S) (EG, LEGAL GUARDIAN) AND/OR KEY CAREGIVER(S) INVOLVED IN PATIENT'S CARE, INTEGRATION OF NEW INFORMATION INTO THE MEDICAL TREATMENT PLAN AND/OR ADJUSTMENT OF MEDICAL THERAPY, WITHIN A CALENDAR MONTH; 15-29 MINUTES"
99378,Hospice care supervision,"SUPERVISION OF A HOSPICE PATIENT (PATIENT NOT PRESENT) REQUIRING COMPLEX AND MULTIDISCIPLINARY CARE MODALITIES INVOLVING REGULAR DEVELOPMENT AND/OR REVISION OF CARE PLANS BY THAT INDIVIDUAL, REVIEW OF SUBSEQUENT REPORTS OF PATIENT STATUS, REVIEW OF RELATED LABORATORY AND OTHER STUDIES, COMMUNICATION (INCLUDING TELEPHONE CALLS) FOR PURPOSES OF ASSESSMENT OR CARE DECISIONS WITH HEALTH CARE PROFESSIONAL(S), FAMILY MEMBER(S), SURROGATE DECISION MAKER(S) (EG, LEGAL GUARDIAN) AND/OR KEY CAREGIVER(S) INVOLVED IN PATIENT'S CARE, INTEGRATION OF NEW INFORMATION INTO THE MEDICAL TREATMENT PLAN AND/OR ADJUSTMENT OF MEDICAL THERAPY, WITHIN A CALENDAR MONTH; 30 MINUTES OR MORE"
99379,Nursing fac care supervision,"SUPERVISION OF A NURSING FACILITY PATIENT (PATIENT NOT PRESENT) REQUIRING COMPLEX AND MULTIDISCIPLINARY CARE MODALITIES INVOLVING REGULAR DEVELOPMENT AND/OR REVISION OF CARE PLANS BY THAT INDIVIDUAL, REVIEW OF SUBSEQUENT REPORTS OF PATIENT STATUS, REVIEW OF RELATED LABORATORY AND OTHER STUDIES, COMMUNICATION (INCLUDING TELEPHONE CALLS) FOR PURPOSES OF ASSESSMENT OR CARE DECISIONS WITH HEALTH CARE PROFESSIONAL(S), FAMILY MEMBER(S), SURROGATE DECISION MAKER(S) (EG, LEGAL GUARDIAN) AND/OR KEY CAREGIVER(S) INVOLVED IN PATIENT'S CARE, INTEGRATION OF NEW INFORMATION INTO THE MEDICAL TREATMENT PLAN AND/OR ADJUSTMENT OF MEDICAL THERAPY, WITHIN A CALENDAR MONTH; 15-29 MINUTES"
99380,Nursing fac care supervision,"SUPERVISION OF A NURSING FACILITY PATIENT (PATIENT NOT PRESENT) REQUIRING COMPLEX AND MULTIDISCIPLINARY CARE MODALITIES INVOLVING REGULAR DEVELOPMENT AND/OR REVISION OF CARE PLANS BY THAT INDIVIDUAL, REVIEW OF SUBSEQUENT REPORTS OF PATIENT STATUS, REVIEW OF RELATED LABORATORY AND OTHER STUDIES, COMMUNICATION (INCLUDING TELEPHONE CALLS) FOR PURPOSES OF ASSESSMENT OR CARE DECISIONS WITH HEALTH CARE PROFESSIONAL(S), FAMILY MEMBER(S), SURROGATE DECISION MAKER(S) (EG, LEGAL GUARDIAN) AND/OR KEY CAREGIVER(S) INVOLVED IN PATIENT'S CARE, INTEGRATION OF NEW INFORMATION INTO THE MEDICAL TREATMENT PLAN AND/OR ADJUSTMENT OF MEDICAL THERAPY, WITHIN A CALENDAR MONTH; 30 MINUTES OR MORE"
99381,Init pm e/m new pat infant,"INITIAL COMPREHENSIVE PREVENTIVE MEDICINE EVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, NEW PATIENT; INFANT (AGE YOUNGER THAN 1 YEAR)"
99382,Init pm e/m new pat 1-4 yrs,"INITIAL COMPREHENSIVE PREVENTIVE MEDICINE EVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, NEW PATIENT; EARLY CHILDHOOD (AGE 1 THROUGH 4 YEARS)"
99383,Prev visit new age 5-11,"INITIAL COMPREHENSIVE PREVENTIVE MEDICINE EVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, NEW PATIENT; LATE CHILDHOOD (AGE 5 THROUGH 11 YEARS)"
99384,Prev visit new age 12-17,"INITIAL COMPREHENSIVE PREVENTIVE MEDICINE EVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, NEW PATIENT; ADOLESCENT (AGE 12 THROUGH 17 YEARS)"
99385,Prev visit new age 18-39,"INITIAL COMPREHENSIVE PREVENTIVE MEDICINE EVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, NEW PATIENT; 18-39 YEARS"
99386,Prev visit new age 40-64,"INITIAL COMPREHENSIVE PREVENTIVE MEDICINE EVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, NEW PATIENT; 40-64 YEARS"
99387,Init pm e/m new pat 65+ yrs,"INITIAL COMPREHENSIVE PREVENTIVE MEDICINE EVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, NEW PATIENT; 65 YEARS AND OLDER"
99391,Per pm reeval est pat infant,"PERIODIC COMPREHENSIVE PREVENTIVE MEDICINE REEVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, ESTABLISHED PATIENT; INFANT (AGE YOUNGER THAN 1 YEAR)"
99392,Prev visit est age 1-4,"PERIODIC COMPREHENSIVE PREVENTIVE MEDICINE REEVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, ESTABLISHED PATIENT; EARLY CHILDHOOD (AGE 1 THROUGH 4 YEARS)"
99393,Prev visit est age 5-11,"PERIODIC COMPREHENSIVE PREVENTIVE MEDICINE REEVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, ESTABLISHED PATIENT; LATE CHILDHOOD (AGE 5 THROUGH 11 YEARS)"
99394,Prev visit est age 12-17,"PERIODIC COMPREHENSIVE PREVENTIVE MEDICINE REEVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, ESTABLISHED PATIENT; ADOLESCENT (AGE 12 THROUGH 17 YEARS)"
99395,Prev visit est age 18-39,"PERIODIC COMPREHENSIVE PREVENTIVE MEDICINE REEVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, ESTABLISHED PATIENT; 18-39 YEARS"
99396,Prev visit est age 40-64,"PERIODIC COMPREHENSIVE PREVENTIVE MEDICINE REEVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, ESTABLISHED PATIENT; 40-64 YEARS"
99397,Per pm reeval est pat 65+ yr,"PERIODIC COMPREHENSIVE PREVENTIVE MEDICINE REEVALUATION AND MANAGEMENT OF AN INDIVIDUAL INCLUDING AN AGE AND GENDER APPROPRIATE HISTORY, EXAMINATION, COUNSELING/ANTICIPATORY GUIDANCE/RISK FACTOR REDUCTION INTERVENTIONS, AND THE ORDERING OF LABORATORY/DIAGNOSTIC PROCEDURES, ESTABLISHED PATIENT; 65 YEARS AND OLDER"
99401,Preventive counseling indiv,PREVENTIVE MEDICINE COUNSELING AND/OR RISK FACTOR REDUCTION INTERVENTION(S) PROVIDED TO AN INDIVIDUAL (SEPARATE PROCEDURE); APPROXIMATELY 15 MINUTES
99402,Preventive counseling indiv,PREVENTIVE MEDICINE COUNSELING AND/OR RISK FACTOR REDUCTION INTERVENTION(S) PROVIDED TO AN INDIVIDUAL (SEPARATE PROCEDURE); APPROXIMATELY 30 MINUTES
99403,Preventive counseling indiv,PREVENTIVE MEDICINE COUNSELING AND/OR RISK FACTOR REDUCTION INTERVENTION(S) PROVIDED TO AN INDIVIDUAL (SEPARATE PROCEDURE); APPROXIMATELY 45 MINUTES
99404,Preventive counseling indiv,PREVENTIVE MEDICINE COUNSELING AND/OR RISK FACTOR REDUCTION INTERVENTION(S) PROVIDED TO AN INDIVIDUAL (SEPARATE PROCEDURE); APPROXIMATELY 60 MINUTES
99406,Behav chng smoking 3-10 min,"SMOKING AND TOBACCO USE CESSATION COUNSELING VISIT; INTERMEDIATE, GREATER THAN 3 MINUTES UP TO 10 MINUTES"
99407,Behav chng smoking > 10 min,"SMOKING AND TOBACCO USE CESSATION COUNSELING VISIT; INTENSIVE, GREATER THAN 10 MINUTES"
99408,Audit/dast 15-30 min,"ALCOHOL AND/OR SUBSTANCE (OTHER THAN TOBACCO) ABUSE STRUCTURED SCREENING (EG, AUDIT, DAST), AND BRIEF INTERVENTION (SBI) SERVICES; 15 TO 30 MINUTES"
99409,Audit/dast over 30 min,"ALCOHOL AND/OR SUBSTANCE (OTHER THAN TOBACCO) ABUSE STRUCTURED SCREENING (EG, AUDIT, DAST), AND BRIEF INTERVENTION (SBI) SERVICES; GREATER THAN 30 MINUTES"
99411,Preventive counseling group,PREVENTIVE MEDICINE COUNSELING AND/OR RISK FACTOR REDUCTION INTERVENTION(S) PROVIDED TO INDIVIDUALS IN A GROUP SETTING (SEPARATE PROCEDURE); APPROXIMATELY 30 MINUTES
99412,Preventive counseling group,PREVENTIVE MEDICINE COUNSELING AND/OR RISK FACTOR REDUCTION INTERVENTION(S) PROVIDED TO INDIVIDUALS IN A GROUP SETTING (SEPARATE PROCEDURE); APPROXIMATELY 60 MINUTES
99415,Prolong clincl staff svc,"PROLONGED CLINICAL STAFF SERVICE (THE SERVICE BEYOND THE TYPICAL SERVICE TIME) DURING AN EVALUATION AND MANAGEMENT SERVICE IN THE OFFICE OR OUTPATIENT SETTING, DIRECT PATIENT CONTACT WITH PHYSICIAN SUPERVISION; FIRST HOUR (LIST SEPARATELY IN ADDITION TO CODE FOR OUTPATIENT EVALUATION AND MANAGEMENT SERVICE)"
99416,Prolong clincl staff svc add,"PROLONGED CLINICAL STAFF SERVICE (THE SERVICE BEYOND THE TYPICAL SERVICE TIME) DURING AN EVALUATION AND MANAGEMENT SERVICE IN THE OFFICE OR OUTPATIENT SETTING, DIRECT PATIENT CONTACT WITH PHYSICIAN SUPERVISION; EACH ADDITIONAL 30 MINUTES (LIST SEPARATELY IN ADDITION TO CODE FOR PROLONGED SERVICE)"
99420,Health risk assessment test,"ADMINISTRATION AND INTERPRETATION OF HEALTH RISK ASSESSMENT INSTRUMENT (EG, HEALTH HAZARD APPRAISAL)"
99429,Unlisted preventive service,UNLISTED PREVENTIVE MEDICINE SERVICE
